id,make,model,colour,year,licence_number,location,sold_date,bought_price,for_sale_price,sold_price,seller_fname,seller_lname,seller_phone,seller_email,purchaser_fname,purchaser_lname,purchaser_phone,purchaser_email,image_url
1,Pontiac,Tempest,Aquamarine,1965,MF05 CRL,Hatton,,£29548.55,£29548.55,$2.73,Chuck,Airton,775-630-7722,ecourteney0@bizjournals.com,Eamon,Courteney,342-185-8891,ecourteney0@google.com,http://dummyimage.com/200x200.png/dddddd/000000
2,Plymouth,Voyager,Red,1992,OM07 XFK,Yanping,,£13347.21,£13347.21,$0.42,Clarisse,Collerd,530-525-4016,ebrotherheed1@woothemes.com,Emmery,Brotherheed,253-373-3990,ebrotherheed1@bluehost.com,http://dummyimage.com/200x200.png/ff4444/ffffff
3,Hyundai,Genesis,Pink,2010,IL82 FNE,San Jose,,£10784.41,£10784.41,$0.44,Ketti,Ridgwell,720-443-8562,drosewarne2@eepurl.com,Dot,Rosewarne,875-398-9051,drosewarne2@discuz.net,http://dummyimage.com/200x200.png/dddddd/000000
4,Dodge,Ram Van 1500,Maroon,2003,MA69 EVI,Ferreñafe,,£24047.55,£24047.55,$2.52,Gaston,Smurfit,226-164-7978,bstailey3@reference.com,Brendan,Stailey,821-629-4933,bstailey3@yelp.com,http://dummyimage.com/200x200.png/ff4444/ffffff
5,Mazda,MPV,Teal,2002,PW13 RQK,Guanhães,,£7972.07,£7972.07,$2.66,Claresta,Stops,855-235-0082,cwhiff4@unc.edu,Constance,Whiff,624-969-8829,cwhiff4@ycombinator.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
6,Chrysler,300,Crimson,2006,PD76 XUR,Kijang,4/19/2022,£12943.23,£12943.23,$0.23,Sean,Place,650-936-0469,jodea5@yale.edu,Justinn,O'Dea,418-711-7286,jodea5@mac.com,http://dummyimage.com/200x200.png/cc0000/ffffff
7,Mercury,Grand Marquis,Pink,2002,QU04 BXO,Piedecuesta,,£18239.44,£18239.44,$4.71,Garik,Phizacklea,562-140-7704,uwillock6@163.com,Umeko,Willock,464-490-7477,uwillock6@msu.edu,http://dummyimage.com/200x200.png/ff4444/ffffff
8,Dodge,Ram Van 1500,Pink,2002,MX84 QBL,Tours,8/1/2022,£6699.60,£6699.60,$8.73,Tobe,Gregh,436-938-5477,ebramich7@fema.gov,Englebert,Bramich,491-549-3934,ebramich7@indiegogo.com,http://dummyimage.com/200x200.png/cc0000/ffffff
9,Subaru,Impreza,Maroon,2006,LX63 POS,Dugcal,,£15151.45,£15151.45,$7.88,Gunilla,Lattimer,138-225-6011,dmcshee8@wufoo.com,Doll,McShee,700-573-7838,dmcshee8@wordpress.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
10,Plymouth,Breeze,Orange,2000,UH21 BQE,Chok Chai,,£19899.99,£19899.99,$3.91,Anita,Stubbeley,478-461-0345,lrhyme9@diigo.com,Lyndsey,Rhyme,232-338-2293,lrhyme9@yale.edu,http://dummyimage.com/200x200.png/cc0000/ffffff
11,Volkswagen,Jetta III,Khaki,1995,CI42 LDA,Sumiainen,3/5/2023,£13131.09,£13131.09,$2.17,Gennie,Beer,872-368-9993,ddrewerya@devhub.com,Delainey,Drewery,439-383-7784,ddrewerya@discovery.com,http://dummyimage.com/200x200.png/dddddd/000000
12,Jaguar,XJ Series,Crimson,2004,HV81 XDV,Tanumshede,,£12150.54,£12150.54,$9.34,Vinnie,Mayow,620-961-8865,dmunktonb@google.com.hk,Darill,Munkton,951-255-9619,dmunktonb@cornell.edu,http://dummyimage.com/200x200.png/5fa2dd/ffffff
13,Fillmore,Fillmore,Purple,1960,ON05 UAG,Rila,,£21190.30,£21190.30,$5.12,Whitby,Dulany,100-602-5818,bdungec@mit.edu,Brenn,Dunge,560-571-2610,bdungec@tripod.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
14,BMW,Z4,Green,2009,BU90 BGU,Maun,,£11309.08,£11309.08,$1.05,Kata,Amdohr,259-540-9836,acarnamand@homestead.com,Artur,Carnaman,970-155-2972,acarnamand@soup.io,http://dummyimage.com/200x200.png/dddddd/000000
15,Toyota,Land Cruiser,Aquamarine,2003,BR45 VXH,Aral,,£15924.42,£15924.42,$5.39,Palmer,Gager,896-995-7907,ewildeye@thetimes.co.uk,Emeline,Wildey,481-931-3235,ewildeye@wikispaces.com,http://dummyimage.com/200x200.png/dddddd/000000
16,Mercury,Sable,Goldenrod,1995,UG45 UKX,Dundbürd,,£21788.24,£21788.24,$6.06,Petr,Arnecke,803-536-8367,jcastelluzzif@seattletimes.com,Jamil,Castelluzzi,323-361-0107,jcastelluzzif@taobao.com,http://dummyimage.com/200x200.png/dddddd/000000
17,Pontiac,Grand Prix,Maroon,2002,TS34 RWQ,Dongying,,£18010.39,£18010.39,$9.53,Mellicent,Lurner,356-346-3075,bgladding@sakura.ne.jp,Boigie,Gladdin,700-715-3574,bgladding@deviantart.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
18,Bentley,Arnage,Indigo,2006,UP57 KBM,Lago,8/19/2022,£22868.92,£22868.92,$3.49,Elwood,Playford,561-849-9814,kpagonh@ow.ly,Kathye,Pagon,304-414-1205,kpagonh@slate.com,http://dummyimage.com/200x200.png/dddddd/000000
19,Holden,Monaro,Indigo,2004,EP12 LBO,Ya’erya,,£6470.45,£6470.45,$6.19,Oran,Saveall,713-211-2517,wjillionsi@wsj.com,Willy,Jillions,181-329-3474,wjillionsi@instagram.com,http://dummyimage.com/200x200.png/dddddd/000000
20,Citroën,2CV,Yellow,1948,IX26 PYG,Gayamdesa,8/2/2022,£13920.48,£13920.48,$9.46,Falkner,Jarrelt,274-276-5492,rlaniganj@youtu.be,Renault,Lanigan,710-868-3664,rlaniganj@msn.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
21,Lexus,GS,Khaki,2001,NA70 FQR,Novocheboksarsk,,£26293.70,£26293.70,$2.16,Lorri,Duxbarry,110-240-3684,wmaccambridgek@netscape.com,Wilone,MacCambridge,342-492-8887,wmaccambridgek@exblog.jp,http://dummyimage.com/200x200.png/dddddd/000000
22,Mercedes-Benz,SL-Class,Fuscia,2000,NQ34 MZO,Bayeman,8/4/2022,£21117.25,£21117.25,$9.36,Donny,Scholer,628-255-7091,imabbittl@forbes.com,Ileane,Mabbitt,915-535-4116,imabbittl@liveinternet.ru,http://dummyimage.com/200x200.png/5fa2dd/ffffff
23,Hummer,H3,Mauv,2008,OS85 DQW,Nilanapo,,£28096.28,£28096.28,$2.87,Madison,Jone,534-306-5843,kfarakerm@bing.com,Konstance,Faraker,929-833-4127,kfarakerm@globo.com,http://dummyimage.com/200x200.png/ff4444/ffffff
24,Volvo,XC90,Puce,2007,DL54 OZR,Citeureup,7/19/2022,£6860.63,£6860.63,$5.42,Darlene,Buxsy,890-320-6786,ghenkmannn@springer.com,Grannie,Henkmann,234-586-6815,ghenkmannn@nifty.com,http://dummyimage.com/200x200.png/cc0000/ffffff
25,Infiniti,J,Green,1994,OB39 AQT,Xunhe,,£27800.37,£27800.37,$5.07,Penrod,Chiene,118-619-1928,sspeakso@squidoo.com,Sophie,Speaks,514-243-0492,sspeakso@wp.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
26,Mitsubishi,Mirage,Orange,1986,KO88 HRN,Yinping,,£19953.86,£19953.86,$7.71,Sher,Le Claire,597-365-0217,mpendellp@youku.com,Manuel,Pendell,987-662-0808,mpendellp@newsvine.com,http://dummyimage.com/200x200.png/ff4444/ffffff
27,Chevrolet,Express 1500,Maroon,2001,QT75 BOU,Luoshanchuan,8/17/2022,£21680.00,£21680.00,$2.42,Vyky,Kilmurray,747-849-6560,obondsq@answers.com,Olimpia,Bonds,319-616-2306,obondsq@biglobe.ne.jp,http://dummyimage.com/200x200.png/cc0000/ffffff
28,Ford,Focus,Fuscia,2012,HX01 JQB,Xiayang,,£26672.31,£26672.31,$0.17,Nyssa,Burnes,712-584-5265,jbawcockr@yandex.ru,Jerrilyn,Bawcock,957-649-7423,jbawcockr@accuweather.com,http://dummyimage.com/200x200.png/dddddd/000000
29,Maybach,57,Purple,2008,DE16 SGA,Honghai,2/17/2023,£5911.03,£5911.03,$9.24,Meredithe,Moorhead,206-787-3654,aloucas@facebook.com,Adel,Louca,394-772-3084,aloucas@blogspot.com,http://dummyimage.com/200x200.png/dddddd/000000
30,Pontiac,Grand Prix,Pink,1972,IA73 EDC,Xiqi,7/6/2022,£10703.27,£10703.27,$1.81,Sam,Blitz,229-352-8650,ptinwellt@smugmug.com,Palm,Tinwell,485-649-7393,ptinwellt@samsung.com,http://dummyimage.com/200x200.png/ff4444/ffffff
31,Ford,Windstar,Mauv,2000,BV21 EUH,Pamyat’ Parizhskoy Kommuny,,£18289.56,£18289.56,$6.97,Jarret,Readett,481-339-6235,fwildeu@delicious.com,Felicle,Wilde,945-715-5951,fwildeu@accuweather.com,http://dummyimage.com/200x200.png/dddddd/000000
32,Suzuki,SJ,Crimson,1995,NI60 AXP,Villasis,,£12657.65,£12657.65,$0.36,Malissia,Newns,477-603-9055,apunterv@youku.com,Andriana,Punter,223-648-7711,apunterv@msu.edu,http://dummyimage.com/200x200.png/dddddd/000000
33,Porsche,928,Puce,1985,EP21 MYA,Gapluk,10/20/2022,£24314.72,£24314.72,$6.74,Melisande,Batcock,541-517-2726,nmaytomw@studiopress.com,Niall,Maytom,290-510-0496,nmaytomw@phoca.cz,http://dummyimage.com/200x200.png/dddddd/000000
34,GMC,Rally Wagon G2500,Indigo,1995,EJ44 PSN,Khotiv,,£9632.07,£9632.07,$6.95,Eloise,Rafe,620-232-0215,litzkinx@cbsnews.com,Lishe,Itzkin,772-488-3901,litzkinx@fda.gov,http://dummyimage.com/200x200.png/cc0000/ffffff
35,Jaguar,XJ Series,Red,1998,FK03 OYG,Qingyang,,£14879.78,£14879.78,$4.18,Cecilia,Roome,440-701-3074,vpauluschy@samsung.com,Vick,Paulusch,715-993-4278,vpauluschy@infoseek.co.jp,http://dummyimage.com/200x200.png/ff4444/ffffff
36,Ford,E-Series,Mauv,1986,WC24 SYN,Rojas,,£15963.47,£15963.47,$1.87,Ulick,Nutley,789-292-3557,ahenckez@ted.com,Alexandre,Hencke,598-309-3524,ahenckez@wikia.com,http://dummyimage.com/200x200.png/cc0000/ffffff
37,Dodge,Charger,Aquamarine,2006,MR31 ZJL,Otaslavice,7/30/2022,£28115.27,£28115.27,$5.44,Loren,Yann,348-345-6813,jmacshane10@geocities.com,Jandy,MacShane,429-937-7791,jmacshane10@washingtonpost.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
38,Honda,Accord,Indigo,1992,GO22 FCG,Tanahwurung,,£9582.46,£9582.46,$8.65,Kattie,McSwan,498-225-9214,rpirelli11@europa.eu,Rudie,Pirelli,736-129-8935,rpirelli11@furl.net,http://dummyimage.com/200x200.png/cc0000/ffffff
39,Ford,F-Series,Blue,2009,JM59 XKR,Djohong,,£21270.82,£21270.82,$6.00,Ansel,Luff,365-698-2487,sdinsell12@naver.com,Sylvan,Dinsell,771-104-7716,sdinsell12@cnbc.com,http://dummyimage.com/200x200.png/dddddd/000000
40,Mazda,MX-5,Yellow,1999,HO50 AMJ,Solna,,£7297.70,£7297.70,$9.66,Marjie,Shalders,421-840-2298,gesslemont13@cloudflare.com,Gail,Esslemont,923-999-2940,gesslemont13@hao123.com,http://dummyimage.com/200x200.png/cc0000/ffffff
41,Acura,TSX,Yellow,2008,ZE90 ALD,Kilifi,,£20186.96,£20186.96,$6.49,Geordie,O' Hanvey,145-347-6254,tsommerled14@gmpg.org,Tony,Sommerled,152-814-5852,tsommerled14@smugmug.com,http://dummyimage.com/200x200.png/5fa2dd/ffffff
42,Toyota,Matrix,Puce,2006,XU58 ZFD,Tunggar,,£5805.49,£5805.49,$8.76,Nerta,Jahner,637-436-0465,kklimas15@google.es,Katina,Klimas,804-153-8265,kklimas15@gizmodo.com,http://dummyimage.com/200x200.png/dddddd/000000
43,Honda,Insight,Aquamarine,2005,KA21 CHM,Rukem,,£16571.92,£16571.92,$7.16,Rebe,Greenstreet,298-931-7496,hquestier16@pen.io,Hephzibah,Questier,936-952-3269,hquestier16@yahoo.co.jp,http://dummyimage.com/200x200.png/5fa2dd/ffffff
44,Smart,Fortwo,Mauv,2012,SB49 XVR,Tabūk,,£15407.78,£15407.78,$5.24,Corliss,Karpeev,114-563-4708,rlynch17@hhs.gov,Ronnie,Lynch,867-332-6931,rlynch17@msu.edu,http://dummyimage.com/200x200.png/cc0000/ffffff
45,Mercedes-Benz,E-Class,Violet,2012,CV49 QHB,Stockholm,,£10025.47,£10025.47,$3.98,Gillie,Tabert,915-941-2487,saloshikin18@cyberchimps.com,Shep,Aloshikin,783-641-5607,saloshikin18@usatoday.com,http://dummyimage.com/200x200.png/ff4444/ffffff
46,GMC,Terrain,Fuscia,2010,DN90 JIB,Kuching,,£5740.63,£5740.63,$5.71,Modestine,Boud,596-889-6691,rmarte19@topsy.com,Rosina,Marte,403-690-1007,rmarte19@typepad.com,http://dummyimage.com/200x200.png/ff4444/ffffff
47,Pontiac,Sunfire,Goldenrod,2003,LG90 BDE,Lafia,2/19/2023,£11468.41,£11468.41,$8.10,Roanne,Bodicam,291-720-6490,gcarbry1a@free.fr,Gerri,Carbry,846-183-0938,gcarbry1a@bizjournals.com,http://dummyimage.com/200x200.png/dddddd/000000
48,Bentley,Continental GTC,Red,2010,ZN08 XFK,El Carmen,,£26858.91,£26858.91,$3.90,Andreana,Vlasenko,348-849-1301,mvalance1b@sun.com,Melonie,Valance,415-955-1995,mvalance1b@salon.com,http://dummyimage.com/200x200.png/cc0000/ffffff
49,Aston Martin,DBS,Red,2011,XR40 ZSC,Moyogalpa,6/2/2022,£13447.08,£13447.08,$6.19,Horatia,McOnie,956-714-0102,chamblin1c@wired.com,Cheston,Hamblin,368-823-8690,chamblin1c@disqus.com,http://dummyimage.com/200x200.png/dddddd/000000
